N,p,seed,number_of_shortcuts,status,total_spikes,last_spike_time,activity_duration,late_spikes,runtime_seconds
2000,0.10526315789473684,31,211,SUCCESS,175371,3000.0,2990.0,11785,3.9461538000032306
2000,0.10526315789473684,32,211,SUCCESS,233507,3000.0,2990.0,15843,3.9152984999818727
2000,0.10526315789473684,33,211,SUCCESS,228347,3000.0,2990.0,15491,3.8301262999884784
2000,0.10526315789473684,34,211,SUCCESS,221832,3000.0,2990.0,14834,3.7645985999843106
2000,0.10526315789473684,35,211,SUCCESS,209647,3000.0,2990.0,14254,3.8015554999001324
2000,0.10526315789473684,36,211,SUCCESS,205715,3000.0,2990.0,13883,3.9752860999433324
2000,0.10526315789473684,37,211,SUCCESS,188061,3000.0,2990.0,12733,3.825915200053714
2000,0.10526315789473684,38,211,SUCCESS,228417,3000.0,2990.0,15457,3.836754299933091
2000,0.10526315789473684,39,211,SUCCESS,223016,3000.0,2990.0,15263,3.8657142999581993
2000,0.10526315789473684,40,211,SUCCESS,217771,3000.0,2990.0,14881,3.8143036999972537
2000,0.10526315789473684,41,211,SUCCESS,227749,3000.0,2990.0,15633,3.7295302000129595
2000,0.10526315789473684,42,211,SUCCESS,186034,3000.0,2990.0,12365,3.795289299916476
2000,0.10526315789473684,43,211,SUCCESS,228952,3000.0,2990.0,15361,3.832902899943292
2000,0.10526315789473684,44,211,SUCCESS,185996,3000.0,2990.0,12519,3.91040689998772
2000,0.10526315789473684,45,211,SUCCESS,228442,3000.0,2990.0,15573,3.854224900016561
2000,0.10526315789473684,46,211,SUCCESS,204734,3000.0,2990.0,13893,3.7800634000450373
2000,0.10526315789473684,47,211,SUCCESS,175086,3000.0,2990.0,11762,3.8026446000440046
2000,0.10526315789473684,48,211,SUCCESS,219819,3000.0,2990.0,14962,4.063018599990755
2000,0.10526315789473684,49,211,SUCCESS,228440,3000.0,2990.0,15465,3.9986867998959497
2000,0.10526315789473684,50,211,SUCCESS,205286,3000.0,2990.0,13809,3.8912654999876395
2000,0.10526315789473684,51,211,SUCCESS,194111,3000.0,2990.0,13226,3.9315567000303417
2000,0.10526315789473684,52,211,SUCCESS,219869,3000.0,2990.0,15037,3.936789899948053
2000,0.10526315789473684,53,211,SUCCESS,218219,3000.0,2990.0,14829,3.80610709998291
2000,0.10526315789473684,54,211,SUCCESS,218139,3000.0,2990.0,14873,3.7860134999500588
2000,0.10526315789473684,55,211,SUCCESS,220006,3000.0,2990.0,14925,4.159573899931274
2000,0.10526315789473684,56,211,SUCCESS,217950,3000.0,2990.0,14904,3.9034796999767423
2000,0.10526315789473684,57,211,SUCCESS,219966,3000.0,2990.0,14971,3.8833709999453276
2000,0.10526315789473684,58,211,SUCCESS,220974,3000.0,2990.0,15218,3.7959417999954894
2000,0.10526315789473684,59,211,SUCCESS,185925,3000.0,2990.0,12538,3.8770439999643713
2000,0.10526315789473684,60,211,SUCCESS,230900,3000.0,2990.0,15795,3.872094399994239
2000,0.10526315789473684,61,211,SUCCESS,198461,3000.0,2990.0,13423,3.801298400037922
2000,0.10526315789473684,62,211,SUCCESS,202468,3000.0,2990.0,13698,3.759869600064121
2000,0.10526315789473684,63,211,SUCCESS,180109,3000.0,2990.0,12087,3.7914377000415698
2000,0.10526315789473684,64,211,SUCCESS,212454,3000.0,2990.0,14372,3.841641900013201
2000,0.10526315789473684,65,211,SUCCESS,232342,3000.0,2990.0,16075,3.895314500085078
2000,0.10526315789473684,66,211,SUCCESS,211676,3000.0,2990.0,14372,3.8053279999876395
2000,0.10526315789473684,67,211,SUCCESS,205801,3000.0,2990.0,13904,3.947405999992043
2000,0.10526315789473684,68,211,SUCCESS,204767,3000.0,2990.0,13787,3.8729377000126988
2000,0.10526315789473684,69,211,SUCCESS,217608,3000.0,2990.0,14872,3.925503100035712
2000,0.10526315789473684,70,211,SUCCESS,203475,3000.0,2990.0,13846,3.9663492999970913
2000,0.10526315789473684,71,211,SUCCESS,174941,3000.0,2990.0,11725,4.2389731999719515
2000,0.10526315789473684,72,211,SUCCESS,227485,3000.0,2990.0,15383,4.05814580002334
2000,0.10526315789473684,73,211,SUCCESS,211244,3000.0,2990.0,14224,3.8347563999705017
2000,0.10526315789473684,74,211,SUCCESS,180306,3000.0,2990.0,12130,3.954278599936515
2000,0.10526315789473684,75,211,SUCCESS,222800,3000.0,2990.0,15157,3.8866080000298098
2000,0.10526315789473684,76,211,SUCCESS,204741,3000.0,2990.0,13812,3.7649628000799567
2000,0.10526315789473684,77,211,SUCCESS,204891,3000.0,2990.0,13826,3.8356223000446334
2000,0.10526315789473684,78,211,SUCCESS,192037,3000.0,2990.0,13078,3.836500099976547
2000,0.10526315789473684,79,211,SUCCESS,217889,3000.0,2990.0,14870,3.8398067000089213
2000,0.10526315789473684,80,211,SUCCESS,203014,3000.0,2990.0,13879,3.845983700011857
2000,0.10526315789473684,81,211,SUCCESS,197558,3000.0,2990.0,13531,3.9222615000326186
2000,0.10526315789473684,82,211,SUCCESS,199951,3000.0,2990.0,13584,3.8369144999887794
2000,0.10526315789473684,83,211,SUCCESS,205634,3000.0,2990.0,13855,3.9600682000163943
2000,0.10526315789473684,84,211,SUCCESS,221749,3000.0,2990.0,15002,3.7924091999884695
2000,0.10526315789473684,85,211,SUCCESS,220003,3000.0,2990.0,14879,3.8522335999878123
2000,0.10526315789473684,86,211,SUCCESS,205197,3000.0,2990.0,13817,3.8664721999084577
2000,0.10526315789473684,87,211,SUCCESS,191709,3000.0,2990.0,13322,4.192102700006217
2000,0.10526315789473684,88,211,SUCCESS,228125,3000.0,2990.0,15342,3.8154431999428198
2000,0.10526315789473684,89,211,SUCCESS,212033,3000.0,2990.0,14238,3.9207423999905586
2000,0.10526315789473684,90,211,SUCCESS,222165,3000.0,2990.0,15132,4.013170199934393
2000,0.10526315789473684,91,211,SUCCESS,219629,3000.0,2990.0,15157,4.112732500070706
2000,0.10526315789473684,92,211,SUCCESS,202871,3000.0,2990.0,13763,3.9537762000691146
